OBJECTID,BOUNDARY,LEGEND,DATA_SRC,Shape__Length
1639,Town,Town,NJ,14983.5511847811
1640,Town,Town,NJ,4974.49274389484
1641,Town,Town,NJ,171.820562059245
1642,Town,Town,NY,40805.8478478338
1643,Town,Town,NJ,443.322472316562
1644,Town,Town,NJ,3670.51736835867
1645,Town,Town,NY,84158.762293185
1646,Town,Town,NJ,6582.04266013801
1647,Town,Town,NJ,13629.2076096221
1648,Town,Town,NJ,9662.700593482
1649,Town,Town,NJ,3803.92780087338
1650,Town,Town,NJ,3314.85167908724
1651,Town,Town,NJ,10053.4409980518
1652,Town,Town,NJ,4381.32416866367
1653,Town,Town,NJ,7526.67443008414
1654,Town,Town,NJ,5465.39692423919
1655,Town,Town,NJ,9446.52886763468
1656,Town,Town,NJ,1483.53560950077
1657,Town,Town,NJ,6533.16525771746
1658,Town,Town,NJ,1562.68754146807
1659,Town,Town,NJ,1708.42064627301
1660,Town,Town,NJ,5909.31054501944
1661,Town,Town,NJ,7877.29111704954
1662,Town,Town,NJ,8102.10780955961
1663,Town,Town,NJ,6227.60845614669
1664,Town,Town,NJ,3651.83887622691
1665,Town,Town,NJ,2453.65443441619
1666,Town,Town,NJ,3880.67616297284
1667,Town,Town,NJ,7023.54617599349
1668,Town,Town,NJ,124.244603763631
1669,Town,Town,NJ,4114.22895258223
1670,Town,Town,NJ,5249.68288416794
1671,Town,Town,NJ,3217.99507251788
1672,County,Town,NY,39886.2205630309
1673,Town,Town,NJ,7559.19319732668
1674,Town,Town,NJ,6640.34396698321
1675,Town,Town,NJ,916.746978335636
1676,Town,Town,NJ,7997.0799171776
1677,Town,Town,NJ,13142.4157479163
1678,Town,Town,NJ,3679.39570296277
1679,Town,Town,NJ,1425.4683783581
1680,Town,Town,NJ,10473.6188676225
1681,Town,Town,NJ,4100.50577766084
1682,Town,Town,NJ,5486.47102457371
1683,Town,Town,NJ,4225.050527806
1684,Town,Town,NJ,7115.59669130451
1685,Town,Town,NY,22940.3538248533
1686,Town,Town,NY,33437.2457218761
1687,County,Town,NJ,9337.25744185801
1688,Town,Town,NJ,7636.05490687996
