Town,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Vernon,4.5,4.3,4.4,5.2,7.6,9.1,8.4,8.1,7.7,6.4,5.3,4.5,4.1,3.7,3.4,7.8,6,3.9
Voluntown,5.2,4.1,4.8,6.2,8.9,10.8,10.6,9.7,8.4,6.5,6.2,4.9,4.6,3.4,3.9,8.6,7.2,4.4
Wallingford,4.3,3.9,4,4.9,7.5,8.8,8.1,7.5,7.2,6,5,4.3,3.9,3.3,3,6.5,5,3.6
Warren,3.9,3.5,3.7,4.1,6.1,6.4,6.2,7,6.3,5.2,4.8,3.8,4.1,3,2.6,5.4,5.2,3.8
Washington,3.7,3.3,3.5,4.2,6.2,6.5,6.4,5.7,5.5,4.5,3.5,3,3,2.3,2.2,5.1,4.4,3
Waterbury,7.9,7.1,7.4,9.1,13.5,14.8,13.8,12.7,12.5,10.6,9.1,7.5,6.9,6.2,5.7,11.7,10.1,6.3
Waterford,4.3,3.9,3.9,5,7.4,8.5,8.3,8,7.8,6,5.3,4.5,4,3.4,3.3,8.3,6,4.1
Watertown,4.8,4.3,4.4,5.7,8.6,8.8,8.2,7.6,7.2,6,5.3,4.4,3.9,3.5,3.3,6.7,5.2,3.6
West hartford,4.3,3.9,4.1,5,7.3,7.3,6.8,6.1,5.9,4.8,4.1,3.6,3.2,2.9,2.7,6,4.7,3.3
West haven,5.5,5,5.2,6.3,9.1,11.2,10.9,10.1,9.4,7.9,6.6,5.5,5.1,4.4,3.9,8.7,6.7,4.4
Westbrook,4.1,3.6,3.5,4.5,7.2,8.6,7.7,7.3,6.7,5.8,4.7,4.2,3.7,3.4,3.2,6.7,5.4,3.7
Weston,3.1,2.7,2.5,3.5,5.5,6.9,6.9,6.3,6.2,4.8,4.3,3.9,3.9,3.4,3.1,6.5,5.1,3.6
Westport,3.3,2.9,3,4,6.3,6.9,6.7,6.4,6.1,4.9,3.9,3.5,3.5,2.9,2.8,5.6,4.3,3.4
Wethersfield,4.6,4.3,4.2,5.1,7.8,8.8,8,7,6.8,5.8,4.8,4.3,4.2,3.4,3.1,7.3,5.9,3.9
Willington,3.8,3.2,3.5,4.2,6,7.3,7.1,6.7,5.9,5.7,4.3,3.9,3.5,3.3,2.7,6.1,5.2,3.4
Wilton,3.3,3,2.9,4,6.1,6.8,6.3,6.1,5.9,4.6,4.2,3.9,3.5,3,3.1,5.9,4.7,3.4
Winchester,5.9,5.1,5.4,6.4,9.8,12,10.5,9,8.8,6.8,5.7,5.1,4.7,4.2,4,7.8,6.3,4.3
Windham,6.8,6.9,6.6,7.4,9.9,11.9,11.5,10.4,10.1,8.3,7,5.9,5.6,5,4.7,9,8,5.3
Windsor,4.6,4.2,4.2,5.2,8,9,8.6,8.2,7.7,6.4,5.3,4.7,4.5,3.9,3.7,8,6.4,4
Wndsor locks,4.8,4.3,4.6,5.8,8.9,9.4,8.4,8.5,7.7,6.3,5.6,4.9,4.4,4.1,3.6,8,6.1,3.9
Wolcott,4.5,4.1,4.3,5.5,8.6,9.6,8.5,8,7.3,5.8,4.9,4.4,4,3.5,3.2,6.8,5.3,3.6
Woodbridge,3.5,2.7,3.1,3.7,4.8,6.3,5.6,5.1,5.4,4.3,4.1,3.3,2.9,2.9,2.6,5.5,4,3.1
Woodbury,3.9,3,3.2,4.2,6.7,8.6,6.9,6.8,6.5,5.4,4.5,3.9,3.4,3.2,3.1,6.3,5.1,3.7
Woodstock,4.1,3.9,3.9,5,6.8,9.2,8,7.8,7.3,6,5.1,4.5,4.1,3.9,3.6,7.2,5.4,4.3
